,Value
Total Days,24.0
Mean Daily Return,0.0031424163870230667
Std Dev of Return,0.009738253825526894
Sharpe Ratio,5.1225111348505825
Cumulative Return,0.07704203776478002
Max Drawdown,-0.02688310462794108
