,Value
Total Days,118.0
Mean Daily Return,-0.0007809872517848557
Std Dev of Return,0.014446988185766181
Sharpe Ratio,-0.8581572928966562
Cumulative Return,-0.09944075411939413
Max Drawdown,-0.24107915880043096
