DATE,Long,Short,LS,Cumulative_LS
2017-01-31,0.012314378848243305,0.010681746779767595,0.0016326320684757097,1.0016326320684756
2017-02-01,0.02371745737712144,-0.010876320696084503,0.03459377807320594,1.0362828890531337
2017-02-28,0.006629189290902132,0.011209439528023604,-0.004580250237121472,1.031536454104823
2017-03-01,-0.0033422798874863323,-0.0107966151152612,0.007454335227774868,1.0392258726333907
2017-03-31,0.005319707489593598,0.0038725052129878015,0.0014472022766057967,1.0407298426821736
2017-04-01,0.0,0.0,0.0,1.0407298426821736
2017-04-28,-0.03566047011706971,-0.0104759054175394,-0.025184564699530308,1.0145195146244124
2017-04-29,0.0,0.0,0.0,1.0145195146244124
2017-05-31,0.014690851742904625,0.009329446064139898,0.005361405678764726,1.0199587653113373
2017-06-01,-0.004333485857680201,-0.0140845070422535,0.0097510211845733,1.0299044048392794
2017-06-30,0.004272469284313807,-0.0117411225658649,0.016013591850178706,1.0463968736230769
2017-07-01,0.0,0.0,0.0,1.0463968736230769
2017-07-31,0.003705594200834101,0.005877413937867302,-0.0021718197370332007,1.0441242882401724
2017-08-01,-0.014282161589948083,-0.0050125313283206985,-0.009269630261627384,1.034445642141001
2017-08-31,-0.009661261698053236,-0.012178245225574405,0.0025169835275211695,1.037049324782386
2017-09-01,0.002411864633627547,-0.006052269601100301,0.008464134234727848,1.0458270494753779
2017-09-29,-0.0054497746080871,-0.018980759230369303,0.013530984622282204,1.059978119199396
2017-09-30,0.0,0.0,0.0,1.059978119199396
2017-10-31,0.0038417106660774,-0.0170031880977683,0.0208448987638457,1.0820732557859989
2017-11-01,0.027109907478607555,0.0026638252530633995,0.024446082225544157,1.1085257075710055
2017-11-30,0.0031637721320007806,-0.008364580328814496,0.011528352460815277,1.1213051826397586
2017-12-01,0.0025579802318961603,-0.0150568181818182,0.017614798413714362,1.141056747392211
2017-12-29,-0.0011476321495295,0.004769475357710602,-0.005917107507240102,1.1343049919460297
2017-12-30,0.0,0.0,0.0,1.1343049919460297
2018-07-11,-0.001634570669948309,-0.001634570669948309,0.0,1.1343049919460297
2018-07-12,-0.021157015246722102,-0.021157015246722102,0.0,1.1343049919460297
2018-07-13,-0.00638627532198734,-0.00638627532198734,0.0,1.1343049919460297
2018-07-14,0.0,0.0,0.0,1.1343049919460297
2018-07-15,0.0,0.0,0.0,1.1343049919460297
2018-07-17,-0.009865528017657702,-0.008921879814383736,-0.0009436482032739654,1.1332346070784152
2018-07-18,-0.0005930226509326252,-0.0005930226509326252,0.0,1.1332346070784152
2018-07-19,0.005680599372382564,0.005680599372382564,0.0,1.1332346070784152
2018-07-20,-0.007446871907250216,-0.0074468719072502175,1.734723475976807e-18,1.1332346070784152
2018-07-21,0.0,0.0,0.0,1.1332346070784152
2018-07-22,0.0,0.0,0.0,1.1332346070784152
2018-07-23,0.004834360459419733,0.004834360459419733,0.0,1.1332346070784152
2018-07-24,-0.003333805014862323,-0.0034928156530580927,0.00015901063819576946,1.1334148034365121
2018-07-25,-0.01357187361431654,-0.013571873614316542,1.734723475976807e-18,1.1334148034365121
2018-07-26,0.09994120991903824,0.09573972212763002,0.0042014877914082205,1.1381768318957521
2018-07-28,0.0,0.0,0.0,1.1381768318957521
2018-07-29,0.0,0.0,0.0,1.1381768318957521
2018-07-30,0.005226396869865998,0.005226396869865998,0.0,1.1381768318957521
2018-07-31,-0.002955576965291796,-0.002955576965291795,-8.673617379884035e-19,1.1381768318957521
2018-08-01,-0.003828002996426856,-0.003828002996426857,8.673617379884035e-19,1.1381768318957521
2018-08-02,-0.023265740353529924,-0.015741509330979023,-0.007524231022550901,1.1296129264680534
2018-08-03,-0.0039358682727963805,-6.495041264490978e-05,-0.0038709178601514706,1.1252402876159302
2018-08-04,0.0,0.0,0.0,1.1252402876159302
2018-08-05,0.0,0.0,0.0,1.1252402876159302
2018-08-06,-0.04259787818407019,-0.01528344726264156,-0.02731443092142863,1.0945049895098364
2018-08-07,0.005010073199360223,0.00517837399408611,-0.00016830079472588723,1.0943207834502706
2018-08-08,-0.0032832539822612466,-0.0026372363017230665,-0.0006460176805381801,1.0936138328759812
2018-08-09,-0.0069872964797766494,-0.0069872964797766494,0.0,1.0936138328759812
2018-08-10,0.009361910461139178,0.009361910461139177,1.734723475976807e-18,1.0936138328759812
2018-08-11,0.0,0.0,0.0,1.0936138328759812
2018-08-12,0.0,0.0,0.0,1.0936138328759812
2018-08-13,0.00590748485511319,0.00590748485511319,0.0,1.0936138328759812
2018-08-14,-0.005340676396682957,-0.005340676396682957,0.0,1.0936138328759812
2018-08-15,0.020473856621371442,0.020473856621371442,0.0,1.0936138328759812
2018-08-16,-0.0065626233720219845,-0.0065626233720219845,0.0,1.0936138328759812
2018-08-17,-0.005801056637901209,-0.007504018453732852,0.001702961815831643,1.0954762154746345
2018-08-18,0.0,0.0,0.0,1.0954762154746345
2018-08-19,0.0,0.0,0.0,1.0954762154746345
2018-08-20,0.0037125798288905444,0.003300535598791283,0.00041204423009926156,1.0959276001284317
2018-08-21,-0.008278082734680099,-0.0082780827346801,1.734723475976807e-18,1.0959276001284317
2018-08-22,-0.0014184474337160236,-0.0033963585291728535,0.0019779110954568297,1.098095247488543
2018-08-23,0.005108533906122888,0.005108533906122889,-8.673617379884035e-19,1.098095247488543
2018-08-24,-0.009253163976785446,-0.009253163976785442,-3.469446951953614e-18,1.098095247488543
2018-08-25,0.0,0.0,0.0,1.098095247488543
2018-08-26,0.0,0.0,0.0,1.098095247488543
2018-08-27,-0.011219422310191532,-0.011219422310191532,0.0,1.098095247488543
