Top_N,Mean Daily Return,Sharpe Ratio,Max Drawdown,Cumulative Return
5,0.002789215414512934,3.796404885557512,-0.07419499618496561,0.21956417380080961
10,0.00222885385396469,3.2551847579252313,-0.0682255155221001,0.17153238310934382
30,0.0014444469815393095,2.7699376161828653,-0.04157805001780723,0.10839750286767114
50,0.0012285897160570361,2.517870114265239,-0.032752499275749525,0.09142691288354565
