Month,mean,std,count,Sharpe
2017-01,0.0016326320684756992,,1,
2017-02,0.013533872872072913,0.027598700278187324,2,7.7845539538038455
2017-03,0.003468171271151701,0.002858081761222331,2,19.26309907325082
2017-04,-0.008394854899843434,0.014540315208697365,3,-9.165151389911681
2017-05,0.01873553814145066,,1,
2017-06,0.012603540944585209,0.0040340721315460905,2,49.59628964107666
2017-07,-0.0010859098685166004,0.0015357084635709607,2,-11.224972160321824
2017-08,-0.0010567819001539198,0.005924191609867927,2,-2.831760633654349
2017-09,0.006676023441181623,0.006767266822594246,3,15.660471119505555
2017-10,0.0208448987638457,,1,
2017-11,0.030005694779013242,0.028953692636174994,2,16.451291508522267
2017-12,0.0012265280336467641,0.007829289176636438,3,2.486883352906782
