label,samples,meanret,stdret,ic,sharpe,p_value,sig
Social Media Backlash,46,0.000111,0.013642,0.367171,0.008105,0.956407,
Negative Press,42,-0.001473,0.015269,-0.008220,-0.096489,0.535224,
Viral Marketing Campaign,17,-0.001086,0.010479,-0.112419,-0.103642,0.674835,
Brand Boycott,23,-0.001862,0.011648,0.612293,-0.159834,0.451506,
Speculation/Rumor,130,-0.004625,0.013725,-0.038883,-0.336986,0.000190,***
Retail Investor Buzz,92,-0.003693,0.010300,0.095500,-0.358553,0.000882,***
Geopolitical Tension,25,-0.012158,0.018406,-0.139454,-0.660555,0.002992,**
